country,source,forename,gender
algeria,census 2010)[1],omar,male
algeria,census 2010)[1],abdelkader,male
algeria,census 2010)[1],ahmed,male
algeria,census 2010)[1],mohammed,male
algeria,census 2010)[1],ali,male
algeria,census 2010)[1],rachid,male
algeria,census 2010)[1],said,male
algeria,census 2010)[1],brahim,male
algeria,census 2010)[1],djamel,male
egypt,2004 unofficial)[2],mohamed,male
egypt,2004 unofficial)[2],youssef,male
egypt,2004 unofficial)[2],ahmed,male
egypt,2004 unofficial)[2],mahmoud,male
egypt,2004 unofficial)[2],mustafa,male
egypt,2004 unofficial)[2],yassin,male
egypt,2004 unofficial)[2],taha,male
egypt,2004 unofficial)[2],khaled,male
egypt,2004 unofficial)[2],hamza,male
egypt,2004 unofficial)[2],bilal,male
egypt,2004 unofficial)[2],ibrahim,male
egypt,2004 unofficial)[2],hassan,male
egypt,2004 unofficial)[2],hussein,male
egypt,2004 unofficial)[2],karim,male
egypt,2004 unofficial)[2],tareq,male
egypt,2004 unofficial)[2],abdel-rahman,male
egypt,2004 unofficial)[2],ali,male
egypt,2004 unofficial)[2],omar,male
egypt,2004 unofficial)[2],halim,male
egypt,2004 unofficial)[2],murad,male
egypt,2004 unofficial)[2],selim,male
egypt,2004 unofficial)[2],abdallah,male
egypt,2004 coptic christians,peter,male
egypt,2004 coptic christians,pierre,male
egypt,2004 coptic christians,george,male
egypt,2004 coptic christians,john,male
egypt,2004 coptic christians,mina,male
egypt,2004 coptic christians,beshoi,male
egypt,2004 coptic christians,kirollos,male
egypt,2004 coptic christians,mark,male
egypt,2004 coptic christians,fadi,male
egypt,2004 coptic christians,habib,male
equatorial guinea,2011)[3],manuel,male
equatorial guinea,2011)[3],juan,male
equatorial guinea,2011)[3],antonio,male
equatorial guinea,2011)[3],josé,male
libya,citation needed),mohammed,male
libya,citation needed),ahmed,male
libya,citation needed),ali,male
libya,citation needed),hamza,male
libya,citation needed),ibrahim,male
libya,citation needed),mahmoud,male
libya,citation needed),abdallah,male
libya,citation needed),tareq,male
libya,citation needed),hassan,male
libya,citation needed),khaled,male
mali,census 2010)[1],mamadou,male
mali,census 2010)[1],moussa,male
mali,census 2010)[1],mahamadou,male
mali,census 2010)[1],adama,male
mali,census 2010)[1],bakary,male
mali,census 2010)[1],abdoulaye,male
mali,census 2010)[1],modibo,male
mali,census 2010)[1],oumar,male
mali,census 2010)[1],sekou,male
mali,census 2010)[1],souleymane,male
morocco,2019) [4],mohamed,male
morocco,2019) [4],amir,male
morocco,2019) [4],ibrahim,male
morocco,2019) [4],naïm,male
morocco,2019) [4],ayoub,male
morocco,2019) [4],youssef,male
morocco,2019) [4],younès,male
morocco,2019) [4],wassim,male
morocco,2019) [4],ali,male
morocco,2019) [4],amine,male
south africa,2019),enzokuhle,male
south africa,2019),lethabo,male
south africa,2019),lubanzi,male
south africa,2019),melokuhle,male
south africa,2019),junior,male
south africa,2019),lethokuhle,male
south africa,2019),siyabonga,male
south africa,2019),omphile,male
south africa,2019),thato,male
south africa,2019),bokamoso,male
tunisia,6),mehdi,male
tunisia,6),youssef,male
tunisia,6),aziz,male
tunisia,6),karim,male
argentina,2020–21)[8],mateo,male
argentina,2020–21)[8],bautista,male
argentina,2020–21)[8],juan,male
argentina,2020–21)[8],felipe,male
argentina,2020–21)[8],bruno,male
argentina,2020–21)[8],noah,male
argentina,2020–21)[8],benicio,male
argentina,2020–21)[8],thiago,male
argentina,2020–21)[8],ciro,male
argentina,2020–21)[8],liam,male
aruba,2005)[9],daniel,male
aruba,2005)[9],dylan,male
aruba,2005)[9],dyllan,male
aruba,2005)[9],kevin,male
aruba,2005)[9],keven,male
bolivia,2015)[10],juan carlos,male
bolivia,2015)[10],josé luis,male
bolivia,2015)[10],marco antonio,male
bolivia,2015)[10],miguel ángel,male
bolivia,2015)[10],juan,male
bolivia,2015)[10],mario,male
bolivia,2015)[10],david,male
bolivia,2015)[10],fernando,male
bolivia,2015)[10],victor hugo,male
bolivia,2015)[10],jorge,male
brazil,2021)[11],miguel,male
brazil,2021)[11],arthur,male
brazil,2021)[11],gael,male
brazil,2021)[11],heitor,male
brazil,2021)[11],theo,male
brazil,2021)[11],davi,male
brazil,2021)[11],gabriel,male
brazil,2021)[11],bernardo,male
brazil,2021)[11],samuel,male
brazil,2021)[11],joão miguel,male
brazil,census 2010)[12],josé,male
brazil,census 2010)[12],joão,male
brazil,census 2010)[12],antônio,male
brazil,census 2010)[12],francisco,male
brazil,census 2010)[12],carlos,male
brazil,census 2010)[12],paulo,male
brazil,census 2010)[12],pedro,male
brazil,census 2010)[12],lucas,male
brazil,census 2010)[12],luiz,male
brazil,census 2010)[12],marcos,male
canada,2021 babycenter)[13],noah,male
canada,2021 babycenter)[13],jackson,male
canada,2021 babycenter)[13],liam,male
canada,2021 babycenter)[13],lucas,male
canada,2021 babycenter)[13],oliver,male
canada,2021 babycenter)[13],leo,male
canada,2021 babycenter)[13],benjamin,male
canada,2021 babycenter)[13],theo,male
canada,2021 babycenter)[13],jack,male
canada,2021 babycenter)[13],aiden,male
canada,2020)[14],liam,male
canada,2020)[14],william,male
canada,2020)[14],noah,male
canada,2020)[14],thomas,male
canada,2020)[14],leo,male
canada,2020)[14],nathan,male
canada,2020)[14],édouard,male
canada,2020)[14],logan,male
canada,2020)[14],jacob,male
canada,2020)[14],arthur,male
chile,2021)[15],mateo,male
chile,2021)[15],agustín,male
chile,2021)[15],benjamín,male
chile,2021)[15],lucás,male
chile,2021)[15],santiago,male
chile,2021)[15],tomás,male
chile,2021)[15],gaspar,male
chile,2021)[15],matías,male
chile,2021)[15],joaquín,male
chile,2021)[15],maximiliano,male
colombia,2021 baby center)[16],matías,male
colombia,2021 baby center)[16],emiliano,male
colombia,2021 baby center)[16],jerónimo,male
colombia,2021 baby center)[16],martín,male
colombia,2021 baby center)[16],emmanuel,male
colombia,2021 baby center)[16],samuel,male
colombia,2021 baby center)[16],maximiliano,male
colombia,2021 baby center)[16],santiago,male
colombia,2021 baby center)[16],thiago,male
colombia,2021 baby center)[16],nicolás,male
greenland,2012-2020)[17],inuk,male
greenland,2012-2020)[17],malik,male
greenland,2012-2020)[17],minik,male
greenland,2012-2020)[17],inunnguag,male
greenland,2012-2020)[17],liam,male
greenland,2012-2020)[17],ulloriaq,male
greenland,2012-2020)[17],norsaq,male
greenland,2012-2020)[17],aputsiaq,male
greenland,2012-2020)[17],ivik,male
greenland,2012-2020)[17],miki,male
greenland,2012-2020)[17],maligiaq,male
greenland,2012-2020)[17],noah,male
greenland,2012-2020)[17],qillaq,male
greenland,2012-2020)[17],inutsiaq,male
greenland,2012-2020)[17],nuka,male
greenland,2012-2020)[17],salik,male
haiti,unofficial privately compiled)[18],stevenson,male
haiti,unofficial privately compiled)[18],stanley,male
haiti,unofficial privately compiled)[18],samuel,male
haiti,unofficial privately compiled)[18],peterson,male
haiti,unofficial privately compiled)[18],daniel,male
haiti,unofficial privately compiled)[18],wilson,male
haiti,unofficial privately compiled)[18],jameson,male
haiti,unofficial privately compiled)[18],evens,male
haiti,unofficial privately compiled)[18],ricardo,male
haiti,unofficial privately compiled)[18],emmanuel,male
jamaica,2017)[19],jayden,male
jamaica,2017)[19],aiden,male
jamaica,2017)[19],joshua,male
jamaica,2017)[19],daniel,male
jamaica,2017)[19],nathaniel,male
jamaica,2017)[19],nathan,male
jamaica,2017)[19],malachi,male
jamaica,2017)[19],liam,male
jamaica,2017)[19],kyle,male
jamaica,2017)[19],jordan,male
mexico,2020)[20],santiago,male
mexico,2020)[20],mateo,male
mexico,2020)[20],sebastián,male
mexico,2020)[20],leonardo,male
mexico,2020)[20],matías,male
mexico,2020)[20],emiliano,male
mexico,2020)[20],diego,male
mexico,2020)[20],miguel ángel,male
mexico,2020)[20],daniel,male
mexico,2020)[20],alexander,male
paraguay,2015 general population)[21],ramón,male
paraguay,2015 general population)[21],juan,male
paraguay,2015 general population)[21],josé,male
paraguay,2015 general population)[21],antonio,male
paraguay,2015 general population)[21],carlos,male
paraguay,2015 general population)[21],daniel,male
paraguay,2015 general population)[21],luis,male
paraguay,2015 general population)[21],javier,male
paraguay,2015 general population)[21],david,male
paraguay,2015 general population)[21],césar,male
peru,2020)[22],liam,male
peru,2020)[22],thiago,male
peru,2020)[22],dylan,male
peru,2020)[22],gael,male
peru,2020)[22],mateo,male
peru,2020)[22],ian,male
peru,2020)[22],luis,male
peru,2020)[22],lucas,male
peru,2020)[22],santiago,male
peru,2020)[22],juan,male
puerto rico,2020),liam,male
puerto rico,2020),sebastián,male
puerto rico,2020),thiago,male
puerto rico,2020),dylan,male
puerto rico,2020),mateo,male
puerto rico,2020),ian,male
puerto rico,2020),lucas,male
puerto rico,2020),noah,male
puerto rico,2020),jayden,male
puerto rico,2020),matías,male
usa,2020)[24],liam,male
usa,2020)[24],noah,male
usa,2020)[24],oliver,male
usa,2020)[24],elijah,male
usa,2020)[24],william,male
usa,2020)[24],james,male
usa,2020)[24],benjamin,male
usa,2020)[24],lucas,male
usa,2020)[24],henry,male
usa,2020)[24],alexander,male
usa,most common names 1990 census)[25],james,male
usa,most common names 1990 census)[25],john,male
usa,most common names 1990 census)[25],robert,male
usa,most common names 1990 census)[25],michael,male
usa,most common names 1990 census)[25],william,male
usa,most common names 1990 census)[25],david,male
usa,most common names 1990 census)[25],richard,male
usa,most common names 1990 census)[25],charles,male
usa,most common names 1990 census)[25],joseph,male
usa,most common names 1990 census)[25],thomas,male
uruguay,),agustín,male
uruguay,),matías,male
uruguay,),santiago,male
uruguay,),nicolás,male
uruguay,),martín,male
uruguay,),bruno,male
uruguay,),francisco,male
uruguay,),rodrigo,male
uruguay,),mateo,male
uruguay,),joaquín,male
venezuela,2011)[26],sebastián,male
venezuela,2011)[26],santiago,male
venezuela,2011)[26],samuel,male
venezuela,2011)[26],diego,male
venezuela,2011)[26],gabriel,male
venezuela,2011)[26],alejandro,male
venezuela,2011)[26],diego alejandro,male
venezuela,2011)[26],daniel alejandro,male
venezuela,2011)[26],david,male
venezuela,2011)[26],juan andrés,male
arab world,2021)[33],mohamed,male
arab world,2021)[33],محمد,male
arab world,2021)[33],abdullah,male
arab world,2021)[33],عبدالله,male
arab world,2021)[33],ahmed,male
arab world,2021)[33],أحمد,male
arab world,2021)[33],ali,male
arab world,2021)[33],علي,male
arab world,2021)[33],yousouf,male
arab world,2021)[33],يوسف,male
arab world,2021)[33],omar,male
arab world,2021)[33],عمر,male
arab world,2021)[33],adam,male
arab world,2021)[33],آدم,male
arab world,2021)[33],abd,male
arab world,2021)[33],عبد,male
arab world,2021)[33],khaled,male
arab world,2021)[33],خالد,male
arab world,2021)[33],fahd,male
arab world,2021)[33],فهد,male
armenia,2020)[34],davit,male
armenia,2020)[34],narek,male
armenia,2020)[34],hayk,male
armenia,2020)[34],mark,male
armenia,2020)[34],monte,male
armenia,2020)[34],tigran,male
armenia,2020)[34],areg,male
armenia,2020)[34],miqayel,male
armenia,2020)[34],alex,male
armenia,2020)[34],alen,male
azerbaijan,babies born 2020)[35],yusif,male
azerbaijan,babies born 2020)[35],ughur,male
azerbaijan,babies born 2020)[35],ali,male
azerbaijan,babies born 2020)[35],huseyn,male
azerbaijan,babies born 2020)[35],mahammad,male
azerbaijan,babies born 2020)[35],murad,male
azerbaijan,babies born 2020)[35],omar,male
azerbaijan,babies born 2020)[35],raul,male
azerbaijan,babies born 2020)[35],aykhan,male
azerbaijan,babies born 2020)[35],tunar,male
azerbaijan,general population as of 2010)[36],ali,male
azerbaijan,general population as of 2010)[36],elchin,male
azerbaijan,general population as of 2010)[36],vugar,male
azerbaijan,general population as of 2010)[36],anar,male
azerbaijan,general population as of 2010)[36],elnur,male
azerbaijan,general population as of 2010)[36],samir,male
azerbaijan,general population as of 2010)[36],elshan,male
azerbaijan,general population as of 2010)[36],rashad,male
azerbaijan,general population as of 2010)[36],ilgar,male
azerbaijan,general population as of 2010)[36],vusal,male
china,2020)[37],yìchén,male
china,2020)[37],奕辰,male
china,2020)[37],yǔxuān,male
china,2020)[37],宇轩,male
china,2020)[37],hàoyǔ,male
china,2020)[37],浩宇,male
china,2020)[37],亦辰,male
china,2020)[37],yǔchén,male
china,2020)[37],宇辰,male
china,2020)[37],zǐmò,male
china,2020)[37],子墨,male
china,2020)[37],yǔháng,male
china,2020)[37],宇航,male
china,2020)[37],hàorán,male
china,2020)[37],浩然,male
china,2020)[37],zǐháo,male
china,2020)[37],梓豪,male
china,2020)[37],亦宸,male
china,2020)[37],yichen,male
china,2020)[37],yuxuan,male
china,2020)[37],haoyu,male
china,2020)[37],yuchen,male
china,2020)[37],zimo,male
china,2020)[37],yuhang,male
china,2020)[37],haoran,male
china,2020)[37],zihao,male
india,babycenter 2021)[38],muhammad,male
india,babycenter 2021)[38],aarav,male
india,babycenter 2021)[38],advik,male
india,babycenter 2021)[38],atharv,male
india,babycenter 2021)[38],vihaan,male
india,babycenter 2021)[38],kiaan,male
india,babycenter 2021)[38],shivansh,male
india,babycenter 2021)[38],rishaan,male
india,babycenter 2021)[38],ayansh,male
india,babycenter 2021)[38],viraj,male
iran,2019)[39],amir-ali,male
iran,2019)[39],mohammad,male
iran,2019)[39],ali,male
iran,2019)[39],amir-hossein,male
iran,2019)[39],hossein,male
iran,2019)[39],abulfazl,male
iran,2019)[39],amir-abbas,male
iran,2019)[39],samyar,male
iran,2019)[39],mohammad-taha,male
iran,2019)[39],aria,male
iran,general population)[40],mohammad,male
iran,general population)[40],ali,male
iran,general population)[40],hossein,male
iran,general population)[40],mahdi,male
iran,general population)[40],hassan,male
iran,general population)[40],reza,male
iran,general population)[40],ahmad,male
iran,general population)[40],mohammad-reza,male
iran,general population)[40],abbas,male
iran,general population)[40],ali-reza,male
iraq,2007)[citation needed],ali,male
iraq,2007)[citation needed],muhammed,male
iraq,2007)[citation needed],hussein,male
iraq,2007)[citation needed],hydar,male
iraq,2007)[citation needed],ahmed,male
iraq,2007)[citation needed],omar,male
iraq,2007)[citation needed],hasan,male
iraq,2007)[citation needed],kathem,male
iraq,2007)[citation needed],abdullah,male
iraq,2007)[citation needed],ammar,male
israel,2020) jewish boys [41],david,male
israel,2020) jewish boys [41],lavi,male
israel,2020) jewish boys [41],ariel,male
israel,2020) jewish boys [41],yosef,male
israel,2020) jewish boys [41],noam,male
israel,2020) jewish boys [41],uri,male
israel,2020) jewish boys [41],refael,male
israel,2020) jewish boys [41],ari,male
israel,2020) jewish boys [41],moshe,male
israel,2020) jewish boys [41],yehuda,male
israel,2020) muslim boys[42],muhammad,male
israel,2020) muslim boys[42],ahmad,male
israel,2020) muslim boys[42],adam,male
israel,2020) muslim boys[42],yusef,male
israel,2020) muslim boys[42],omer,male
israel,2020) muslim boys[42],ali,male
israel,2020) muslim boys[42],abd,male
israel,2020) muslim boys[42],amir,male
israel,2020) muslim boys[42],ibrahim,male
